BB_STRID,BB_STRNAM,BB_FRO,BB_TO,BB_SECID,DIR_
RUS,Heinz/Russell,7th,8th,RUS01,E/W
RUS,Heinz/Russell,8th,9th,RUS02,E/W
RUS,Heinz/Russell,9th,10th,RUS03,E/W
RUS,Heinz/Russell,10th,San Pablo,RUS04,E/W
RUS,San Pablo,Heinz,Russell,RUS05,N/S
RUS,Russell,San Pablo,Wallace,RUS06,E/W
RUS,Russell,Wallace,Mathews,RUS07,E/W
RUS,Russell,Mathews,Mabel,RUS08,E/W
RUS,Russell,Mabel,Park,RUS09,E/W
RUS,Russell,Park,Acton,RUS10,E/W
RUS,Russell,Acton,Dohr,RUS11,E/W
RUS,Russell,Dohr,Stanton,RUS12,E/W
RUS,Russell,Stanton,Sacramento,RUS13,E/W
RUS,Russell,Sacramento,California,RUS14,E/W
RUS,Russell,California,McGee,RUS15,E/W
RUS,Russell,McGee,King,RUS16,E/W
RUS,Russell,King,Ellis,RUS17,E/W
RUS,Russell,Ellis,Grant,RUS18,E/W
RUS,Russell,Grant,Harper,RUS19,E/W
RUS,Russell,Harper,M L King Jr Way,RUS20,E/W
RUS,Russell,M L King Jr Way,Otis,RUS21,E/W
RUS,Russell,Otis,Milvia,RUS22,E/W
RUS,Russell,Milvia,Adeline,RUS23,E/W
RUS,Russell,Adeline,Newbury,RUS24,E/W
RUS,Russell,Newbury,Shattuck,RUS25,E/W
RUS,Russell,Shattuck,Lorina,RUS26,E/W
RUS,Russell,Lorina,Wheeler,RUS27,E/W
RUS,Russell,Wheeler,Fulton,RUS28,E/W
RUS,Russell,Fulton,Deakin,RUS29,E/W
RUS,Ruseell,Deakin,Ellsworth,RUS30,E/W
RUS,Russell,Ellsworth,Telegraph,RUS31,E/W
RUS,Russell,Telegraph,Florence,RUS32,E/W
RUS,Russell,Florence,Regent,RUS33,E/W
RUS,Russell,Regent,Hillegass,RUS34,E/W
RUS,Russell,Hillegass,Benvenue,RUS35,E/W
RUS,Russell,Benvenue,College,RUS36,E/W
RUS,Russell,College,Cherry,RUS37,E/W
RUS,Russell,Cherry,Pidemont,RUS38,E/W
RUS,Russell,Piedmont,Kelsey,RUS39,E/W
RUS,Russell,Kelsey,Pine,RUS40,E/W
RUS,Russell,Pine,Oak Knoll,RUS41,E/W
RUS,Russell,Oak Knoll,Claremont,RUS42,E/W
RUS,Russell,Claremont,Claremont,RUS43,E/W
VIR,Virginia,5th,6th,VIR01,E/W
VIR,Virginia,6th,7th,VIR02,E/W
VIR,Virginia,7th,8th,VIR03,E/W
VIR,Virginia,8th,9th,VIR04,E/W
VIR,Virginia,9th,10th,VIR05,E/W
VIR,Virginia,10th,San Pablo,VIR06,E/W
VIR,Virgiinia,San Pablo,Kains,VIR07,E/W
VIR,Virginia,Kains,Stannage,VIR08,E/W
VIR,Virginia,Stannage,Cornell,VIR09,E/W
VIR,Virginia,Cornell,Curtis,VIR10,E/W
VIR,Virginia,Curtis,Belvedere,VIR11,E/W
VIR,Virginia,Belvedere,Chestnut,VIR12,E/W
VIR,Virginia,Chestnut,West,VIR13,E/W
VIR,Virginia,West,Virginia Gardens,VIR14,E/W
VIR,Virginia,Virginia Gardens,Franklin,VIR15,E/W
VIR,Virginia,Franklin,Acton,VIR16,E/W
VIR,Virginia,Acton,Short,VIR17,E/W
VIR,Virginia,Short,Sacramento,VIR18,E/W
VIR,Virginia,Sacramento,Eola,VIR19,E/W
VIR,Virginia,Eola,California,VIR20,E/W
VIR,Virginia,California,McGee,VIR21,E/W
VIR,Virginia,McGee,Edith,VIR22,E/W
VIR,Virginia,Edith,Grant,VIR23,E/W
VIR,Virginia,Grant,Josephine,VIR24,E/W
VIR,Virginia,Josephine,M L KIng Jr Way,VIR25,E/W
VIR,Virginia,M L KIng Jr Way,Bonita,VIR26,E/W
VIR,Virginia,Bonita,Milvia,VIR27,E/W
VIR,Virginia,Milvia,Shattuck,VIR28,E/W
VIR,Virginia,Shattuck,Walnut,VIR29,E/W
VIR,Virginia,Walnut,Oxford,VIR30,E/W
VIR,Virginia,Oxford,Spruce,VIR31,E/W
VIR,Virginia,Spruce,Arch,VIR32,E/W
VIR,Virginia,Arch,Scenic,VIR33,E/W
VIR,Virginia,Scenic,Euclid,VIR34,E/W
VIR,Virginia,Euclid,LeRoy,VIR35,E/W
VIR,Virginia,LeRoy,LaLoma,VIR36,E/W
CHAN,Channing,4th,5th,CHAN01,E/W
CHAN,Channing,5th,6th,CHAN02,E/W
CHAN,Channing,6th,7th,CHAN03,E/W
CHAN,Channing,7th,8th,CHAN04,E/W
CHAN,Channing,8th,9th,CHAN05,E/W
CHAN,Channing,9th,10th,CHAN06,E/W
CHAN,Channing,10th,San Pablo,CHAN07,E/W
CHAN,Channing,San Pablo,Byron,CHAN08,E/W
CHAN,CHanning,Byron,Curtis,CHAN09,E/W
CHAN,Channing,Curtis,Browning,CHAN10,E/W
CHAN,CHanning,Browning,Bonar,CHAN11,E/W
CHAN,Channing,Bonar,West,CHAN12,E/W
CHAN,Channing,West,Valley,CHAN13,E/W
CHAN,Channing,Valley,Acton,CHAN14,E/W
CHAN,Channing,Acton,Edwards,CHAN15,E/W
CHAN,Channing,Edwards,Sacramento,CHAN16,E/W
CHAN,Channing,Sacramento,Spaulding,CHAN17,E/W
CHAN,Channing,Spaulding,California,CHAN18,E/W
CHAN,Channing,California,Jefferson,CHAN19,E/W
CHAN,Channing,Jefferson,McGee,CHAN20,E/W
CHAN,Channing,McGee,Roosevelt,CHAN21,E/W
CHAN,Channing,Roosevelt,Grant,CHAN22,E/W
CHAN,Channing,Grant,McKinley,CHAN23,E/W
CHAN,Channing,McKinley,M L King Jr Way,CHAN24,E/W
CHAN,Channing,M L King Jr Way,Milvia,CHAN25,E/W
CHAN,Channing,Milvia,Shattuck,CHAN26,E/W
CHAN,Channing,Shattuck,Fulton,CHAN27,E/W
CHAN,Channing,Fulton,Atherton,CHAN28,E/W
CHAN,Channing,Atherton,Ellsworth,CHAN29,E/W
CHAN,Channing,Ellsworth,Dana,CHAN30,E/W
CHAN,Channing,Dana,Telegraph,CHAN31,E/W
CHAN,Channing,Telegraph,Bowditch,CHAN32,E/W
CHAN,Channing,Bowditch,College,CHAN33,E/W
CHAN,Channing,College,Piedmont,CHAN34,E/W
NTH,8th,City Limit,Harrison,NTH01,N/S
NTH,8th,Harrison,Gilman,NTH02,N/S
NTH,8th,GIlman,Camelia,NTH03,N/S
NTH,Camelia,8th,9th,NTH04,E/W
NTH,9th,Camelia,Page,NTH05,N/S
NTH,9th,Page,Jones,NTH06,N/S
NTH,9th,Jones,Cedar,NTH07,N/S
NTH,9th,Cedar,Virginia,NTH08,N/S
NTH,9th,Virginia,Delaware,NTH09,N/S
NTH,9th,Delaware,Hearst,NTH10,N/S
NTH,9th,Hearst,University,NTH11,N/S
NTH,9th,University,Addison,NTH12,N/S
NTH,9th,Addison,Allston,NTH13,N/S
NTH,9th,Allston,Bancroft,NTH14,N/S
NTH,9th,Bancroft,Channing,NTH15,N?S
NTH,9th,Channing,Dwight,NTH16,N/S
NTH,9th,Dwight,Parker,NTH17,N/S
NTH,9th,Parker,Carleton,NTH18,N/S
NTH,9th,Carleton,Pardee,NTH19,N/S
NTH,9th,Pardee,Grayson,NTH20,N/S
NTH,9th,Grayson,Heinz,NTH21,N/S
CAL,California,Hopkins,Ada,CAL01,N/S
CAL,Cailfornia,Ada,Rose,CAL02,N/S
CAL,Cailfornia,Rose,Buena,CAL03,N/S
CAL,California,Buena,Jaynes,CAL04,N/S
CAL,California,Jaynes,Cedar,CAL05,N/S
CAL,California,Cedar,Lincoln,CAL06,N/S
CAL,California,Lincoln,Virginia,CAL07,N/S
CAL,Cailifornia,Virginia,Francisco,CAL08,N/S
CAL,California,Francisco,Delaware,CAL09,N/S
CAL,Cailfornia,Delaware,Hearst,CAL10,N/S
CAL,California,Hearst,Berkeley,CAL11,N/S
CAL,California,Berkeley,University,CAL12,N/S
CAL,California,University,Addison,CAL13,N/S
CAL,California,Addison,Allston,CAL14,N/S
CAL,California,Allston,Bancroft,CAL15,N/S
CAL,California,Bancroft,Channing,CAL16,N/S
CAL,California,Channing,Dwight,CAL17,N/S
CAL,California,Dwight,Blake,CAL18,N/S
CAL,Cailfornia,Blake,Parker,CAL19,N/S
CAL,California,Parker,Carleton,CAL20,N/S
CAL,California,Carleton,Derby,CAL21,N/S
CAL,California,Derby,Ward,CAL22,N/S
CAL,California,Ward,Stuart,CAL23,N/S
CAL,California,Stuart,Oregon,CAL24,N/S
CAL,California,Oregon,Russell,CAL25,N/S
KING,King,Russell,Julia,KING01,N/S
KING,King,Julia,Ashby,KING02,N/S
KING,King,Ashby,Tyler,KING03,N/S
KING,King,Tyler,Prince,KING04,N/S
KING,King,Prince,Woolsey,KING05,N/S
KING,King,Woolsey,Fairview,KING06,N/S
KING,King,Fairview,Harmon,KING07,N/S
KING,King,Harmon,Alcatraz,KING08,N/S
KING,King,Alcatraz,63rd,KING09,N/S
KING,King,63rd,62nd,KING10,N/S
KING,King,62nd,City Limit,KING11,N/S
MIL,MIlvia,Hopkins,Yolo,MIL01,N/S
MIL,Milvia,Yolo,Eunice,MIL02,N/S
MIL,Milvia,Eunice,Berryman,MIL03,N/S
MIL,Milvia,Berryman,Rose,MIL04,N/S
MIL,Milvia,Rose,Vine,MIL05,N/S
MIL,Milvia,Vine,Cedar,MIL06,N/S
MIL,Milvia,Cedar,Lincoln,MIL07,N/S
MIL,Milvia,Lincoln,Virginia,MIL08,N/S
MIL,Milvia,Virginia,Francisco,MIL09,N/S
MIL,Milvia,Francisco,Delaware,MIL10,N/S
MIL,MIlvia,Delaware,Hearst,MIL11,N/S
MIL,Milvia,Hearst,Berkeley,MIL12,N/S
MIL,Milvia,Berkeley,University,MIL13,N/S
MIL,Milvia,University,Addison,MIL14,N/S
MIL,Milvia,Addison,Center,MIL15,N/S
MIL,Milvia,Center,Allston,MIL16,N/S
MIL,Milvia,Allston,Kittredge,MIL17,N/S
MIL,Milvia,Kittredge,Bancroft,MIL18,N/S
MIL,Milvia,Bancroft,Durant,MIL19,N/S
MIL,Milvia,Durant,Channing,MIL20,N/S
MIL,Milvia,Channing,Haste,MIL21,N/S
MIL,Milvia,Haste,Dwight,MIL22,N/S
MIL,MIlvia,Dwight,Blake,MIL23,N/S
MIL,MIlvia,Blake,Parker,MIL24,N/S
MIL,Milvia,Parker,Carleton,MIL25,N/S
MIL,Milvia,Carleton,Derby,MIL26,N/S
MIL,Milvia,Derby,Ward,MIL27,N/S
MIL,Milvia,Ward,Stuart,MIL28,N/S
MIL,Milvia,Stuart,Oregon,MIL29,N/S
MIL,Milvia,Oregon,Russell,MIL30,N/S
BOW,Bowditch,Bancroft,Durant,BOW01,N/S
BOW,Bowditch,Durant,Channing,BOW02,N/S
BOW,Bowditch,Channing,Haste,BOW03,N/S
BOW,Bowditch,Haste,Dwight,BOW04,N/S
HIL,Hillegass,Dwight,Parker,HIL01,N/S
HIL,Hillegass,Parker,Derby,HIL02,N/S
HIL,Hillegass,Derby,Stuart,HIL03,N/S
HIL,Hillegass,Stuart,Russell,HIL04,N/S
HIL,Hillegass,Russell,Ashby,HIL05,N/S
HIL,Hillegass,Ashby,Webster,HIL06,N/S
HIL,Hillegass,Webster,Woolsey,HIL07,N/S
